name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,rank,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Novotel Melbourne on Collins,Hotel,https://all.accor.com/hotel/1587/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTgzNDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9667 5800,"270 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8157663,144.9648408,20,4.2,1806,866,618,66,182,74,Hotel,,,,,,,,,1.42E+19,FALSE,,,270 Collins St,FALSE,ChIJvV3BTrRC1moRdkk9WaX7b8Q,"5XM7+MW Melbourne, Victoria, Australia",,8/10/2022 2:42,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,270 Collins St,,FALSE,"https://www.google.com/maps/place/Novotel+Melbourne+on+Collins/@-37.8157663,144.9648408,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b44ec15dbd:0xc46ffba5593d4976!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8157663!4d144.9648408?hl=en"
Atlantis Hotel,Hotel,http://www.atlantishotel.com.au/,+61 3 9600 2900,"300 Spencer St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8136041,144.9518625,8,4,1774,673,669,109,235,88,Hotel,,,,,,,,,1.42E+19,FALSE,,,300 Spencer St,FALSE,ChIJl3kMNE9d1moRgFaMekXmecU,"5XP2+HP Melbourne, Victoria, Australia",,8/10/2022 2:12,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,300 Spencer St,,FALSE,"https://www.google.com/maps/place/Atlantis+Hotel/@-37.8136041,144.9518625,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d4f340c7997:0xc579e6457a8c5680!5m2!4m1!1i2!8m2!3d-37.8136041!4d144.9518625?hl=en"
"Crowne Plaza Melbourne, an IHG Hotel",Hotel,https://www.ihg.com/crowneplaza/hotels/us/en/melbourne/melfs/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-AU-_-MELFS,+61 3 9648 2777,"1/5 Spencer St, Melbourne VIC 3008, Australia",Melbourne,Victoria,AU,3008,-37.8228021,144.954803,30,4.2,1706,835,528,88,201,54,Hotel,Conference center,Wedding venue,,,,,,,1.46E+19,FALSE,,,1/5 Spencer St,FALSE,ChIJYyijY1Fd1moRgkYEMqbUdMo,"5XG3+VW Melbourne, Victoria, Australia",,8/10/2022 2:50,"https://www.google.com/maps/search/hotels+near+Port+Melbourne+VIC/@-37.8105117,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,1/5 Spencer St,,FALSE,"https://www.google.com/maps/place/Crowne+Plaza+Melbourne,+an+IHG+Hotel/@-37.8228021,144.954803,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d5163a32863:0xca74d4a632044682!5m2!4m1!1i2!8m2!3d-37.8228021!4d144.954803?hl=en"
Travelodge Hotel Melbourne Docklands,Hotel,https://www.travelodge.com.au/book-accommodation/melbourne/hotel-melbourne-docklands/?&utm_source=googleplaces&utm_medium=organic&utm_campaign=&utm_content=travelodge-melbourne-docklands,+61 3 8615 1000,"66 Aurora Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8189969,144.9503634,20,4,1680,625,647,75,259,74,Hotel,,,,,,,,,6.95E+17,FALSE,,,66 Aurora Ln,FALSE,ChIJfSu6n1pd1moRDCMv6dX8pAk,"5XJ2+C4 Docklands, Victoria, Australia",,8/10/2022 2:52,"https://www.google.com/maps/search/hotels+near+Port+Melbourne+VIC/@-37.8105117,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,66 Aurora Ln,,FALSE,"https://www.google.com/maps/place/Travelodge+Hotel+Melbourne+Docklands/@-37.8189969,144.9503634,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d5a9fba2b7d:0x9a4fcd5e92f230c!5m2!4m1!1i2!8m2!3d-37.8189969!4d144.9503634?hl=en"
Rendezvous Hotel Melbourne,Hotel,https://rendezvousmelbourne.com.au/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=rendezvous-melbourne,+61 3 9250 1888,"328 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8183324,144.9635426,45,4,1677,683,596,70,262,66,Hotel,Event venue,Restaurant,Wedding venue,,,,,,1.56E+19,FALSE,,,328 Flinders St,FALSE,ChIJj9l7c7NC1moRts0rcsFU3dc,"5XJ7+MC Melbourne, Victoria, Australia",,8/10/2022 2:47,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,328 Flinders St,,FALSE,"https://www.google.com/maps/place/Rendezvous+Hotel+Melbourne/@-37.8183324,144.9635426,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642b3737bd98f:0xd7dd54c1722bcdb6!5m2!4m1!1i2!8m2!3d-37.8183324!4d144.9635426?hl=en"
ibis Melbourne Hotel & Apartments,Hotel,https://all.accor.com/hotel/1564/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNTg0NTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9666 0000,"15-21 Therry St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8069565,144.9613627,23,4.1,1400,559,529,55,219,38,Hotel,,,,,,,,,2.53E+18,FALSE,,,15-21 Therry St,FALSE,ChIJiaMVrcxC1moRvEVeeAq_JSM,"5XV6+6G Melbourne, Victoria, Australia",,8/10/2022 2:51,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,15-21 Therry St,,FALSE,"https://www.google.com/maps/place/ibis+Melbourne+Hotel+%26+Apartments/@-37.8069565,144.9613627,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642ccad15a389:0x2325bf0a785e45bc!5m2!4m1!1i2!8m2!3d-37.8069565!4d144.9613627?hl=en"
"InterContinental Melbourne, an IHG Hotel",Hotel,https://www.ihg.com/intercontinental/hotels/us/en//melbourne/melha/hoteldetail,+61 3 8627 1400,"495 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8181299,144.9579617,67,4.4,1356,818,399,36,78,25,Hotel,Conference center,Wedding venue,,,,,,,8.10E+18,FALSE,,,495 Collins St,FALSE,ChIJq4e4sU1d1moRmTYm28wHYnA,"5XJ5+P5 Melbourne, Victoria, Australia",$$$$,8/10/2022 2:46,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,495 Collins St,,FALSE,"https://www.google.com/maps/place/InterContinental+Melbourne,+an+IHG+Hotel/@-37.8181299,144.9579617,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d4db1b887ab:0x706207ccdb263699!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8181299!4d144.9579617?hl=en"
Oaks Melbourne on Market Hotel,Hotel,https://www.oakshotels.com/en/oaks-on-market?utm_description=GoogleMyBusiness&utm_campaign=GMBMarket&utm_source=GoogleMyBusiness&utm_medium=GMBMarket,+61 1300 790 687,"60 Market St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8177472,144.9607539,50,4.1,1329,588,482,59,160,40,Hotel,Serviced accommodation,,,,,,,,7.80E+18,FALSE,,,60 Market St,FALSE,ChIJX0KgyExd1moRabD2oM7gO2w,"5XJ6+W8 Melbourne, Victoria, Australia",,8/10/2022 2:47,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,60 Market St,,FALSE,"https://www.google.com/maps/place/Oaks+Melbourne+on+Market+Hotel/@-37.8177472,144.9607539,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d4cc8a0425f:0x6c3be0cea0f6b069!5m2!4m1!1i2!8m2!3d-37.8177472!4d144.9607539?hl=en"
QT Melbourne,Hotel,https://www.qthotels.com/melbourne/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 8636 8800,"133 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8133583,144.9680749,95,4.5,1300,935,228,57,54,26,Hotel,Bar,Motel,Restaurant,,,,,,1.35E+19,FALSE,,,133 Russell St,FALSE,ChIJMSsO6clC1moRs-oGzpxp97o,"5XP9+M6 Melbourne, Victoria, Australia",$$$$$,8/10/2022 2:44,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,133 Russell St,,FALSE,"https://www.google.com/maps/place/QT+Melbourne/@-37.8133583,144.9680749,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642c9e90e2b31:0xbaf7699cce06eab3!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8133583!4d144.9680749?hl=en"
The Westin Melbourne,Hotel,https://www.marriott.com/en-us/hotels/melwi-the-westin-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9635 2222,"205 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8155068,144.967508,110,4.5,1299,850,322,36,78,13,Hotel,Meeting planning service,Wedding venue,,,,,,,1.64E+19,FALSE,,,205 Collins St,FALSE,ChIJKacPcrZC1moR3xKhX4R-QuQ,"5XM9+Q2 Melbourne, Victoria, Australia",$$$,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,205 Collins St,,FALSE,"https://www.google.com/maps/place/The+Westin+Melbourne/@-37.8155068,144.967508,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642b6720fa729:0xe4427e845fa112df!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8155068!4d144.967508?hl=en"
Stamford Plaza Melbourne,Hotel,https://www.stamford.com.au/spm,+61 3 9659 1000,"111 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8135163,144.9699388,57,4,1285,558,414,88,151,74,Hotel,Bar,Breakfast restaurant,Conference center,Restaurant,Wedding venue,,,,1.76E+19,FALSE,,,111 Little Collins St,FALSE,ChIJc-7BSMhC1moRJadN_SH7-PM,"5XP9+HX Melbourne, Victoria, Australia",$$,8/10/2022 2:47,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,111 Little Collins St,,FALSE,"https://www.google.com/maps/place/Stamford+Plaza+Melbourne/@-37.8135163,144.9699388,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642c848c1ee73:0xf3f8fb21fd4da725!5m2!4m1!1i2!8m2!3d-37.8135163!4d144.9699388?hl=en"
Brady Hotels Central Melbourne,Hotel,https://www.bradyhotels.com.au/central-melbourne/,+61 3 9650 9888,"30 Little La Trobe St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8091589,144.9626744,44,4.3,1237,677,384,36,105,35,Hotel,,,,,,,,,1.60E+18,FALSE,,,30 Little La Trobe St,FALSE,ChIJNS22KMtC1moRQDc1CceIORY,"5XR7+83 Melbourne, Victoria, Australia",,8/10/2022 2:07,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,30 Little La Trobe St,,FALSE,"https://www.google.com/maps/place/Brady+Hotels+Central+Melbourne/@-37.8091589,144.9626744,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cb28b62d35:0x163988c709353740!5m2!4m1!1i2!8m2!3d-37.8091589!4d144.9626744?hl=en"
Pegasus Apart'Hotel,Hotel,http://www.pegasussuites.com.au/,+61 3 9284 2400,"206 A'Beckett St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8101492,144.9571351,18,4.2,1233,576,465,51,111,30,Hotel,Furnished apartment building,,,,,,,,1.26E+19,FALSE,,,206 A'Beckett St,FALSE,ChIJQRAo9TVd1moRXzwry2Y2cq4,"5XQ4+WV Melbourne, Victoria, Australia",,8/10/2022 2:51,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,206 A'Beckett St,,FALSE,"https://www.google.com/maps/place/Pegasus+Apart'Hotel/@-37.8101492,144.9571351,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d35f5281041:0xae723666cb2b3c5f!5m2!4m1!1i2!8m2!3d-37.8101492!4d144.9571351?hl=en"
Melbourne Marriott Hotel,Hotel,https://www.marriott.com/hotels/travel/melmc-melbourne-marriott-hotel/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MjkyMTQyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+61 3 9662 3900,"Corner Exhibition &, Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,VIC,AU,3000,-37.809947,144.9694324,110,4.3,1198,642,386,32,103,35,Hotel,Meeting planning service,Wedding venue,,,,,,,3.18E+18,FALSE,,,"Corner Exhibition &, Lonsdale St",FALSE,ChIJxxd1K89C1moRdFmmNK5LFyw,"5XR9+2Q Melbourne, Victoria, Australia",,8/10/2022 2:44,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,"Corner Exhibition &, Lonsdale St",,FALSE,"https://www.google.com/maps/place/Melbourne+Marriott+Hotel/@-37.809947,144.9694324,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad642cf2b7517c7:0x2c174bae34a65974!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.809947!4d144.9694324?hl=en"
Travelodge Hotel Melbourne Southbank,Hotel,https://www.travelodge.com.au/book-accommodation/melbourne/hotel-melbourne-southbank/?&utm_source=googleplaces&utm_medium=organic&utm_campaign=&utm_content=travelodge-melbourne-southbank,,"9 Riverside Quay, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8212752,144.9653276,74,4.1,1136,429,459,36,164,48,Hotel,Event venue,Restaurant,,,,,,,1.20E+19,FALSE,,,9 Riverside Quay,FALSE,ChIJE2OwUgmRwCwR0o5jmQTwBKc,"5XH8+F4 Southbank, Victoria, Australia",,8/10/2022 2:03,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,9 Riverside Quay,,FALSE,"https://www.google.com/maps/place/Travelodge+Hotel+Melbourne+Southbank/@-37.8212752,144.9653276,17z/data=!3m1!4b1!4m9!3m8!1s0x2cc0910952b06313:0xa704f00499638ed2!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8212752!4d144.9653276?hl=en"
DoubleTree by Hilton Hotel Melbourne - Flinders Street,Hotel,https://www.hilton.com/en/hotels/melfsdi-doubletree-melbourne-flinders-street/?SEO_id=GMB-APAC-DI-MELFSDI,+61 3 9654 6888,"270 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8178819,144.9654538,23,4.3,1112,579,357,47,98,31,Hotel,Event venue,Meeting planning service,,,,,,,1.53E+19,FALSE,,,270 Flinders St,FALSE,ChIJH7lfCrRC1moR4otX7VVCr9Q,"5XJ8+R5 Melbourne, Victoria, Australia",$,8/10/2022 2:50,"https://www.google.com/maps/search/hotels+near+Southbank+VIC/@-37.8104413,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,270 Flinders St,,FALSE,"https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Melbourne+-+Flinders+Street/@-37.8178819,144.9654538,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642b40a5fb91f:0xd4af4255ed578be2!5m2!4m1!1i2!8m2!3d-37.8178819!4d144.9654538?hl=en"
