restaurant name,phone,website,address,city,State,countryCode,location/lat,location/lng,Categories summary _1,Categories summary _2,Cusine,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categoryName,cid,isAdvertisement,locatedIn,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,orderBy/1/name,orderBy/1/orderUrl,orderBy/1/url,orderBy/2/name,orderBy/2/orderUrl,orderBy/2/url,orderBy/3/name,orderBy/3/orderUrl,orderBy/3/url,orderBy/4/name,orderBy/4/orderUrl,orderBy/4/url,orderBy/5/name,orderBy/5/url,permanentlyClosed,placeId,plusCode,postalCode,price,totalScore,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,url
The Boiling Crab Melbourne CBD,+61 448 038 172,https://www.theboilingcrab.com.au/,"4 Tattersalls Ln, Melbourne VIC 3000, Australia",Melbourne,VIC,AU,-37.8120758,144.965787,Restaurant,,Seafood restaurant,Seafood restaurant,Crab house,Family restaurant,,,,,,,,,Seafood restaurant,5.08E+18,FALSE,,,4 Tattersalls Ln,,,,,,,,,,,,,,,,,,FALSE,ChIJdZ7VogpD1moR6WGRyrrGb0Y,"5XQ8+58 Melbourne, Victoria, Australia",3000,,4.8,51,448,379,56,3,6,4,8/10/2022 1:21,"https://www.google.com/maps/search/Restraunt+CBD,+Melbourne+VIC+3000/@-37.8134205,144.9542724,15z/data=!4m2!2m1!6e5?hl=en",,Victoria,4 Tattersalls Ln,,FALSE,"https://www.google.com/maps/place/The+Boiling+Crab+Melbourne+CBD/@-37.8120758,144.965787,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6430aa2d59e75:0x466fc6baca9161e9!8m2!3d-37.8120758!4d144.965787?hl=en"
Little Africa Restaurant,+61 3 9329 8018,http://little-africa.com.au/,"223 Victoria St, West Melbourne VIC 3003, Australia",West Melbourne,VIC,AU,-37.8058916,144.9540531,Restaurant,,Eritrean,Eritrean restaurant,,,,,,,,,,,Eritrean restaurant,1.53E+19,FALSE,,,223 Victoria St,DoorDash,https://www.doordash.com/en-AU/store/little-africa-restaurant-west-melbourne-1757265/?pickup=true&utm_campaign=gpa,doordash.com,,,,,,,,,,,,,,,FALSE,ChIJETT2xzZd1moR4SHkDmb0V9Q,"5XV3+JJ West Melbourne, Victoria, Australia",3003,$,4.8,14,427,348,63,3,9,4,8/10/2022 2:10,"https://www.google.com/maps/search/restaurant+near+Parkville+VIC/@-37.8061981,144.9423826,14z/data=!3m1!4b1?hl=en",,Victoria,223 Victoria St,,FALSE,"https://www.google.com/maps/place/Little+Africa+Restaurant/@-37.8058916,144.9540531,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d36c7f63411:0xd457f4660ee421e1!8m2!3d-37.8058017!4d144.9540495?hl=en"
Tokui Sushi,+61 3 9663 9966,,"260 Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,VIC,AU,-37.81145,144.9643483,Restaurant,,Japanese,Japanese restaurant,Asian restaurant,Sushi restaurant,Sushi takeaway,,,,,,,,Japanese restaurant,5.94E+18,FALSE,RMIT University Melbourne City Campus,,260 Lonsdale St,,,,,,,,,,,,,,,,,,FALSE,ChIJ5Wg_WspC1moR8vcuIhTcfVI,"5XQ7+CP Melbourne, Victoria, Australia",3000,$,4.8,66,414,348,49,5,11,1,8/10/2022 1:19,"https://www.google.com/maps/search/Restraunt+CBD,+Melbourne+VIC+3000/@-37.8134205,144.9542724,15z/data=!4m2!2m1!6e5?hl=en",,Victoria,260 Lonsdale St,,FALSE,"https://www.google.com/maps/place/Tokui+Sushi/@-37.81145,144.9643483,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642ca5a3f68e5:0x527ddc14222ef7f2!8m2!3d-37.81145!4d144.9643483?hl=en"
Clay Oven Pizza,+61 435 570 130,https://www.clayovenpizza.com.au/,"501 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,VIC,AU,-37.794493,144.9293896,Restaurant,Bar,Italian,Pizza restaurant,Bar,Restaurant,,,,,,,,,Pizza restaurant,1.13E+19,FALSE,,,501 Macaulay Rd,DoorDash,https://www.doordash.com/en-AU/store/clay-oven-pizza-kensington-kensington-2174467/?pickup=true&utm_campaign=gpa,doordash.com,Deliveroo,https://deliveroo.com.au/menu/melbourne/flemington/clay-oven-pizza-kensington?utm_medium=affiliate&utm_source=google_maps_link,deliveroo.com.au,Just Eat,https://www.menulog.com.au/restaurants-clay-oven-pizza/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,menulog.com.au,,,,,,,,,FALSE,ChIJqzWvyRFd1moR5l51YDRJUp0,"6W4H+6Q Kensington, Victoria, Australia",3031,$$,4.8,10,265,239,16,7,3,0,8/10/2022 0:53,"https://www.google.com/maps/search/restaurant+near+Kensington+VIC/@-37.7937242,144.9264494,16z?hl=en",,Victoria,501 Macaulay Rd,,FALSE,"https://www.google.com/maps/place/Clay+Oven+Pizza/@-37.794493,144.9293896,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d11c9af35ab:0x9d52493460755ee6!8m2!3d-37.7944643!4d144.9293902?hl=en"
Rick's Place - Italian/Modern Australian Seafood Cafe/Restaurant,+61 3 9376 2112,http://www.ricksplace.com.au/,"507 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,VIC,AU,-37.7944459,144.9292519,Restaurant,Bar,Italian,Restaurant,Bar,Brunch restaurant,Hamburger restaurant,Italian restaurant,Takeout restaurant,Seafood restaurant,Steak house,Vegan restaurant,Vegetarian restaurant,,Restaurant,5.10E+18,FALSE,,,507 Macaulay Rd,hungryhungry.com,http://order.hungryhungry.com/ricksplace/menu,hungryhungry.com,Deliveroo,https://deliveroo.com.au/menu/melbourne/flemington/ricks-place?utm_medium=affiliate&utm_source=google_maps_link,deliveroo.com.au,,,,,,,,,,,,FALSE,ChIJG_Spt4Nd1moRPBH9zIMXvUY,"6W4H+6P Kensington, Victoria, Australia",3031,,4.8,2,260,238,10,7,5,0,8/10/2022 0:54,"https://www.google.com/maps/search/restaurant+near+Kensington+VIC/@-37.7937242,144.9264494,16z?hl=en",,Victoria,507 Macaulay Rd,,FALSE,"https://www.google.com/maps/place/Rick's+Place+-+Italian%2FModern+Australian+Seafood+Cafe%2FRestaurant/@-37.7944459,144.9292519,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d83b7a9f41b:0x46bd1783ccfd113c!8m2!3d-37.7944459!4d144.9292519?hl=en"
"The Secret Recipe, Indian Fusion Restaurant",+61 3 9193 7414,,"495-497 Spencer St, West Melbourne VIC 3003, Australia",West Melbourne,VIC,AU,-37.8089492,144.9488069,Restaurant,,Indian,Restaurant,,,,,,,,,,,Restaurant,4.49E+17,FALSE,,,495-497 Spencer St,doordash.com,,https://www.doordash.com/en-AU/store/the-secret-recipe-indian-fusion-restaurant-west-melbourne-817812/?utm_campaign=gpa,menulog.com.au,,https://www.menulog.com.au/restaurants-the-secret-recipe-indian-fusion-restaurant/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,deliveroo.com.au,,https://deliveroo.com.au/menu/melbourne/north-melbourne/the-secret-recipe-indian-fusion-restaurant?utm_medium=affiliate&utm_source=google_maps_link,,,,,,,,,FALSE,ChIJIxTtzmRd1moRxCYoA9pSPAY,"5WRX+CG West Melbourne, Victoria, Australia",3003,,4.8,119,255,223,17,6,6,3,7/10/2022 23:20,"https://www.google.com/maps/search/restaurant+near+North+Melbourne+VIC/@-37.8015566,144.9488339,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,495-497 Spencer St,,FALSE,"https://www.google.com/maps/place/The+Secret+Recipe,+Indian+Fusion+Restaurant/@-37.8089492,144.9488069,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d64ceed1423:0x63c52da032826c4!8m2!3d-37.8089147!4d144.9488712?hl=en"
Horn & Hoof,+61 420 224 774,https://hornandhoof.au/,"6/50 Newquay Promenade, Docklands VIC 3008, Australia",Docklands,VIC,AU,-37.8147465,144.9414891,Restaurant,,Restaurant,Restaurant,,,,,,,,,,,Restaurant,1.42E+19,FALSE,,,6/50 Newquay Promenade,hornandhoof.au,,https://hornandhoof.au/book-horn-and-hoof-restaurant/,thefork.com.au,,https://www.thefork.com.au/restaurant/horn-and-hoof-r739935?cc=18174-54f,,,,,,,,,,,,FALSE,ChIJM8de8orJsGoRFNEeTO5E08Q,"5WPR+4H Docklands, Victoria, Australia",3008,,4.8,76,235,213,10,3,5,4,7/10/2022 23:32,"https://www.google.com/maps/search/restaurant+near+Docklands+VIC/@-37.8193306,144.9392852,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,6/50 Newquay Promenade,,FALSE,"https://www.google.com/maps/place/Horn+%26+Hoof/@-37.8147465,144.9414891,17z/data=!3m1!4b1!4m5!3m4!1s0x6ab0c98af25ec733:0xc4d344ee4c1ed114!8m2!3d-37.8147465!4d144.9414891?hl=en"
The Tipsy Cow - Cocktail Tapas Bar & Beer Garden,+61 483 372 222,http://www.thetipsycow.com.au/,"359 Bay St, Port Melbourne VIC 3207, Australia",Port Melbourne,VIC,AU,-37.8353147,144.945079,Bar,,Bar,Cocktail bar,Beer garden,Dog cafe,Events Venue,Gluten-free restaurant,Off Licence,Takeaway,Tapas bar,Vegan restaurant,Wine bar,,Cocktail bar,4.72E+18,FALSE,,,359 Bay St,thetipsycow.com.au,,https://www.thetipsycow.com.au/,opentable.com.au,,https://www.opentable.com.au/restaurant/profile/55556?ref=11025,quandoo.com.au,,https://www.quandoo.com.au/place/the-tipsy-cow-malt-vine-55864?aid=63,,,,,,,,,FALSE,ChIJ-TG4Du5n1moRxYdds7iGj0E,"5W7W+V2 Port Melbourne, Victoria, Australia",3207,££,4.8,71,213,177,29,4,3,0,8/10/2022 1:46,"https://www.google.com/maps/search/restaurant+near+Port+Melbourne+VIC/@-37.8333373,144.9089598,14z/data=!4m2!2m1!6e5?hl=en",,Victoria,359 Bay St,,FALSE,"https://www.google.com/maps/place/The+Tipsy+Cow+-+Cocktail+Tapas+Bar+%26+Beer+Garden/@-37.8353147,144.945079,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad667ee0eb831f9:0x418f86b8b35d87c5!8m2!3d-37.8353147!4d144.945079?hl=en"
Shadowboxer Bar & Kitchen,+61 3 9041 7707,http://shadowboxer.bar/,"302 Toorak Rd, South Yarra VIC 3141, Australia",South Yarra,VIC,AU,-37.8398818,144.9974743,Restaurant,Bar,Bar,Restaurant,Bar,Cocktail bar,Event venue,Lunch restaurant,Modern Australian restaurant,Wine bar,Seafood restaurant,Steak house,Winery,,Wine bar,5.59E+18,FALSE,,,302 Toorak Rd,shadowboxer.bar,,http://www.shadowboxer.bar/,,,,,,,,,,,,,,,FALSE,ChIJJTaspYNC1moR0c_HxSikmk0,"5X6W+2X South Yarra, Victoria, Australia",3141,$$,4.8,46,210,181,26,0,2,1,8/10/2022 1:58,"https://www.google.com/maps/search/restaurant+near+South+Yarra+VIC/@-37.8408638,144.9811033,15z/data=!4m2!2m1!6e5?hl=en",,Victoria,302 Toorak Rd,,FALSE,"https://www.google.com/maps/place/Shadowboxer+Bar+%26+Kitchen/@-37.8398818,144.9974743,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad64283a5ac3625:0x4d9aa428c5c7cfd1!8m2!3d-37.8398818!4d144.9974743?hl=en"
Vinoteca,+61 3 8256 3911,http://www.vinotecawine.com.au/,"317 Bay St, Port Melbourne VIC 3207, Australia",Port Melbourne,VIC,AU,-37.8363033,144.9441732,Restaurant,,Restaurant,Restaurant,,,,,,,,,,,Restaurant,8.74E+18,FALSE,,,317 Bay St,,,,,,,,,,,,,,,,,,FALSE,ChIJZYR-S5pn1moRWl4JYI3sWnk,"5W7V+FM Port Melbourne, Victoria, Australia",3207,,4.8,40,189,167,14,0,5,3,8/10/2022 1:45,"https://www.google.com/maps/search/restaurant+near+Port+Melbourne+VIC/@-37.8333373,144.9089598,14z/data=!4m2!2m1!6e5?hl=en",,Victoria,317 Bay St,,FALSE,"https://www.google.com/maps/place/Vinoteca/@-37.8363033,144.9441732,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6679a4b7e8465:0x795aec8d60095e5a!8m2!3d-37.8363033!4d144.9441732?hl=en"
"Melba Social - Indian Restaurant ,Bar & Café",+61 456 885 782,https://www.melbasocial.com.au/,"524 Macaulay Rd, Kensington VIC 3031, Australia",Kensington,VIC,AU,-37.7941143,144.9286334,Restaurant,,Restaurant,Restaurant,,,,,,,,,,,Restaurant,8.11E+18,FALSE,,,524 Macaulay Rd,foodhub.com.au,https://foodhub.com.au/Kensington/Melba-Social---Indian-Restaurant-Bar-&-Caf/ordernow,foodhub.com.au,DoorDash,https://www.doordash.com/en-AU/store/melba-social-kensington-1743293/?pickup=true&utm_campaign=gpa,doordash.com,Just Eat,https://www.menulog.com.au/restaurants-melba-social-kensington/menu?utm_source=google&utm_medium=organic&utm_campaign=orderaction,menulog.com.au,,,,,,,,,FALSE,ChIJP_q_Xdld1moRaOhgC-vGg3A,"6W4H+9F Kensington, Victoria, Australia",3031,$,4.8,6,180,165,8,3,3,1,8/10/2022 0:54,"https://www.google.com/maps/search/restaurant+near+Kensington+VIC/@-37.7937242,144.9264494,16z?hl=en",,Victoria,524 Macaulay Rd,,FALSE,"https://www.google.com/maps/place/Melba+Social+-+Indian+Restaurant+,Bar+%26+Caf%C3%A9/@-37.7941143,144.9286334,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65dd95dbffa3f:0x7083c6eb0b60e868!8m2!3d-37.7941693!4d144.9286212?hl=en"
Adonai Restaurant (Nigerian Cuisine),+61 439 449 402,http://adonaifoods.com.au/,"478 Drummond St, Carlton VIC 3053, Australia",Carlton,VIC,AU,-37.794473,144.9699598,Restaurant,,Restaurant,Restaurant,,,,,,,,,,,Restaurant,1.29E+19,FALSE,,,478 Drummond St,,,,,,,,,,,,,,,,,,FALSE,ChIJdU3VUShD1moRtOEN1SPOurI,"6X49+6X Carlton, Victoria, Australia",3053,,4.8,67,171,149,18,1,3,0,7/10/2022 23:45,"https://www.google.com/maps/search/restaurant+near+Carlton+VIC/@-37.8009444,144.9640258,16z/data=!4m2!2m1!6e5?hl=en",,Victoria,478 Drummond St,,FALSE,"https://www.google.com/maps/place/Adonai+Restaurant+(Nigerian+Cuisine)/@-37.794473,144.9699598,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad6432851d54d75:0xb2bace23d50de1b4!8m2!3d-37.794473!4d144.9699598?hl=en"
