Name,General Category,Category _1,Detailed_Category,website,Contact Number,address,Suburb,postalCode,location/lat,location/lng,Monday Opening hours,Tuesday Opening hours,Wednesday Opening hours,Thursday Opening hours,Friday Opening hours,Saturday Opening hours,Sunday Opening hours,Google Review Score,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories,rank,countryCode,state,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,orderBy/0/name,orderBy/0/orderUrl,orderBy/0/url,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Old Treasury Building,Tourist attraction,"Art, Museum & Theater",Museum,http://www.oldtreasurybuilding.org.au/,+61 3 9651 2233,"20 Spring St, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8135825,144.9738786,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,10am - 4pm,Closed,10am - 4pm,4.5,1151,714,337,5,84,11,,18,AU,Victoria,Historical landmark,History museum,Museum,,,,,,1.75E+19,FALSE,Floor 0 · Collins Place,,20 Spring St,,,,FALSE,ChIJQ9RYXMZC1moRO66tYKgPofI,"5XPF+HH East Melbourne, Victoria, Australia",,2022-10-07T15:45:06.162Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,20 Spring St,,FALSE,"https://www.google.com/maps/place/Old+Treasury+Building/@-37.8135825,144.9738786,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c65c58d443:0xf2a10fa860adae3b!8m2!3d-37.8135825!4d144.9738786?hl=en"
Royal Exhibition Building,Convention center,Convention center,Convention center,https://museumsvictoria.com.au/reb/,+61 3 9270 5000,"9 Nicholson St, Carlton VIC 3053, Australia",Carlton,3053,-37.8046891,144.9716502,,,,,,,,4.6,4591,3212,1058,54,233,34,,31,AU,Victoria,Conference center,Cultural landmark,Historical landmark,Tourist attraction,,,,,4.95E+18,FALSE,Carlton Gardens,,9 Nicholson St,,,,FALSE,ChIJcd7_l9lC1moRN3U9OQmxoEQ,"5XWC+4M Carlton, Victoria, Australia",,2022-10-07T15:43:46.703Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,9 Nicholson St,,FALSE,"https://www.google.com/maps/place/Royal+Exhibition+Building/@-37.8046891,144.9716502,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642d997ffde71:0x44a0b109393d7537!8m2!3d-37.8046891!4d144.9716502?hl=en"
Royal Botanic Gardens Victoria - Melbourne Gardens,Tourist attraction,Garden & Park,Botanical garden,https://www.rbg.vic.gov.au/,+61 3 9252 2300,"Melbourne VIC 3004, Australia",Melbourne,3004,-37.8303689,144.9796056,7:30am - 7:30pm,7:30am - 7:30pm,7:30am - 7:30pm,7:30am - 7:30pm,7:30am - 7:30pm,7:30am - 7:30pm,7:30am - 7:30pm,4.8,12624,10503,1779,59,243,40,,2,AU,Victoria,Botanical garden,,,,,,,,1.08E+18,FALSE,,,,,,,FALSE,ChIJO40p-5ZC1moRwNcxBXZWBA8,"5X9H+VR Melbourne, Victoria, Australia",$$$$,2022-10-07T15:39:26.404Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,,,FALSE,"https://www.google.com/maps/place/Royal+Botanic+Gardens+Victoria+-+Melbourne+Gardens/@-37.8303689,144.9796056,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad64296fb298d3b:0xf0456760531d7c0!8m2!3d-37.8303689!4d144.9796056?hl=en"
Birrarung Marr,Park,Garden & Park,Park,,+61 3 9658 9658,"Melbourne VIC 3004, Australia",Melbourne,3004,-37.8187351,144.9742624,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,9am - 5pm,4.5,2633,1561,801,26,210,35,,30,AU,Victoria,Park,,,,,,,,1.08E+18,FALSE,,,,,,,FALSE,ChIJIXktmrlC1moRQPgxBXZWBA8,"5XJF+GP Melbourne, Victoria, Australia",$$,2022-10-07T15:43:54.549Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,,,FALSE,"https://www.google.com/maps/place/Birrarung+Marr/@-37.8187351,144.9742624,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b99a2d7921:0xf0456760531f840!8m2!3d-37.8187351!4d144.9742624?hl=en"
Fitzroy Gardens,Park,Garden & Park,Park,https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/pages/fitzroy-gardens.aspx,+61 3 9658 9658,"Wellington Parade, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8127215,144.9800679,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.7,5377,3982,1127,28,214,26,,14,AU,Victoria,Garden,,,,,,,,1.08E+18,FALSE,,,Wellington Parade,,,,FALSE,ChIJX6ytzMNC1moREIYxBXZWBA8,"5XPJ+W2 East Melbourne, Victoria, Australia",,2022-10-07T15:45:54.218Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Wellington Parade,,FALSE,"https://www.google.com/maps/place/Fitzroy+Gardens/@-37.8127215,144.9800679,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c3ccadac5f:0xf04567605318610!8m2!3d-37.8127215!4d144.9800679?hl=en"
Flagstaff Gardens,Park,Garden & Park,Park,https://www.melbourne.vic.gov.au/community/parks-open-spaces/Pages/parks-open-spaces.aspx,+61 3 9658 9658,"309-311 William St, West Melbourne VIC 3003, Australia",West Melbourne,3003,-37.8105577,144.9545199,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.6,5837,3850,1607,31,325,24,,29,AU,Victoria,State park,Park,,,,,,,1.08E+18,FALSE,,,309-311 William St,,,,FALSE,ChIJnQHt6Uld1moRgIUxBXZWBA8,"5XQ3+QR West Melbourne, Victoria, Australia",,2022-10-07T15:44:03.362Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,309-311 William St,,FALSE,"https://www.google.com/maps/place/Flagstaff+Gardens/@-37.8105577,144.9545199,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d49e9ed019d:0xf04567605318580!8m2!3d-37.8105577!4d144.9545199?hl=en"
Treasury Gardens,Park,Garden & Park,Park,https://www.melbourne.vic.gov.au/community/parks-open-spaces/major-parks-gardens/Pages/treasury-gardens.aspx,+61 3 9658 9658,"2-18 Spring St, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8143335,144.9759842,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.6,1530,1076,354,9,86,5,,38,AU,Victoria,,,,,,,,,1.33E+19,FALSE,,,2-18 Spring St,,,,FALSE,ChIJ____48ZC1moRl4JimcJeR7g,"5XPG+79 East Melbourne, Victoria, Australia",,2022-10-07T15:42:52.033Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,2-18 Spring St,,FALSE,"https://www.google.com/maps/place/Treasury+Gardens/@-37.8143335,144.9759842,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c6e3ffffff:0xb8475ec299628297!8m2!3d-37.8143335!4d144.9759842?hl=en"
Queen Victoria Market,Market,Market,Market,http://www.qvm.com.au/,+61 3 9320 5822,"Queen St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8075798,144.956785,Closed,6am - 3pm,Closed,6am - 3pm,6am - 3pm,6am - 4pm,6am - 4pm,4.5,40119,24548,11191,395,3332,653,,1,AU,Victoria,Market,,,,,,,,1.08E+18,FALSE,,,Queen St,,,,FALSE,ChIJsVeQNzRd1moRUNQyBXZWBA8,"5XR4+XP Melbourne, Victoria, Australia",$$,2022-10-07T15:39:20.914Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Queen St,,FALSE,"https://www.google.com/maps/place/Queen+Victoria+Market/@-37.8075798,144.956785,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d34379057b1:0xf0456760532d450!8m2!3d-37.8075798!4d144.956785?hl=en"
South Melbourne Market,Market,Market,Market,https://www.southmelbournemarket.com.au/,+61 3 9209 6295,"322-326 Coventry St, South Melbourne VIC 3205, Australia",South Melbourne,3205,-37.8320111,144.9559391,Closed,Closed,8am - 4pm,Closed,8am - 5pm,8am - 4pm,8am - 4pm,4.6,13846,9407,3504,122,698,115,,46,AU,Victoria,Event venue,Fresh food market,Outlet mall,Seafood market,Shopping mall,,,,8.03E+18,FALSE,,,322-326 Coventry St,,,,FALSE,ChIJU13Hrf5n1moRfzDr6g0ld28,"5X94+59 South Melbourne, Victoria, Australia",$$$$$$,2022-10-07T15:41:47.210Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,322-326 Coventry St,,FALSE,"https://www.google.com/maps/place/South+Melbourne+Market/@-37.8320111,144.9559391,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad667feadc75d53:0x6f77250deaeb307f!8m2!3d-37.8320111!4d144.9559391?hl=en"
Fed Square,Plaza,Tourist attraction,Plaza,https://www.fedsquare.com/,+61 3 9655 1900,"Swanston St & Flinders St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8179789,144.9690576,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,2271,1447,601,50,134,39,,8,AU,Victoria,Art center,Art gallery,Civic center,Community center,Conference center,Event venue,Tourist attraction,,4.10E+18,FALSE,,,Swanston St & Flinders St,,,,FALSE,ChIJT8T86bZC1moRqw7W6kVH5zg,"5XJ9+RJ Melbourne, Victoria, Australia",$$$$,2022-10-07T15:46:33.310Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Swanston St & Flinders St,,FALSE,"https://www.google.com/maps/place/Fed+Square/@-37.8177132,144.9690882,18z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b6e9fcc44f:0x38e74745ead60eab!8m2!3d-37.8179789!4d144.9690576?hl=en"
City Library,Public library,Public library,Public library,https://www.melbourne.vic.gov.au/community/libraries/Pages/libraries.aspx,+61 3 9658 9500,"253 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8168425,144.9658808,9am - 6pm,9am - 6pm,9am - 6pm,9am - 6pm,9am - 6pm,10am - 4pm,12pm - 4pm,4.5,242,158,56,6,16,6,,59,AU,Victoria,,,,,,,,,5.50E+18,FALSE,,,253 Flinders Ln,,,,FALSE,ChIJ4bzpPbRC1moRyxHBYC3fUEw,"5XM8+79 Melbourne, Victoria, Australia",,2022-10-07T15:40:25.275Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,253 Flinders Ln,,FALSE,"https://www.google.com/maps/place/City+Library/@-37.8168425,144.9658808,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b43de9bce1:0x4c50df2d60c111cb!8m2!3d-37.8168427!4d144.9658809?hl=en"
Crown Melbourne,Tourist attraction,Tourist attraction,Casino,https://www.crownmelbourne.com.au/?utm_source=google&utm_medium=organic&utm_content=crown_melbourne&utm_campaign=gmb,+61 3 9292 8888,"8 Whiteman St, Southbank VIC 3006, Australia",Southbank,3006,-37.8235301,144.9580953,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.4,41964,25132,10909,1453,3515,955,,28,AU,Victoria,Recreation center,Casino,,,,,,,1.71E+19,FALSE,,,8 Whiteman St,,,,FALSE,ChIJiUWj1VJd1moRWJdOTqGV1-0,"5XG5+H6 Southbank, Victoria, Australia",$$$,2022-10-07T15:44:05.540Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,8 Whiteman St,,FALSE,"https://www.google.com/maps/place/Crown+Melbourne/@-37.8235301,144.9580953,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad65d52d5a34589:0xedd795a14e4e9758!8m2!3d-37.8235301!4d144.9580953?hl=en"
"St Paul's Cathedral, Melbourne",Tourist attraction,Tourist attraction,Cathedral,https://cathedral.org.au/,+61 3 9653 4333,"Flinders St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.817029,144.967687,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 6pm,10am - 3pm,7:30am - 5pm,4.6,2304,1630,502,20,138,14,,12,AU,Victoria,Church,Cathedral,,,,,,,7.11E+18,FALSE,,,Flinders St,,,,FALSE,ChIJbVDLhrZC1moRV4a7bU8smmI,"5XM9+53 Melbourne, Victoria, Australia",,2022-10-07T15:46:02.609Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,Flinders St,,FALSE,"https://www.google.com/maps/place/St+Paul's+Cathedral,+Melbourne/@-37.817029,144.967687,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b686cb506d:0x629a2c4f6dbb8657!8m2!3d-37.817029!4d144.967687?hl=en"
St Patrick's Cathedral,Tourist attraction,Tourist attraction,Catholic church,http://www.cam.org.au/cathedral,+61 3 9662 2233,"1 Cathedral Pl, East Melbourne VIC 3002, Australia",East Melbourne,3002,-37.8100833,144.9764167,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,10am - 5pm,Closed,Closed,4.7,2502,1894,475,30,93,10,,27,AU,Victoria,Church,Catholic church,,,,,,,3.17E+18,FALSE,,,1 Cathedral Pl,,,,FALSE,ChIJq5z0TsRC1moRoPbHvgub8is,"5XQG+XH East Melbourne, Victoria, Australia",,2022-10-07T15:44:14.636Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z/data=!4m2!2m1!6e1?hl=en",,1 Cathedral Pl,,FALSE,"https://www.google.com/maps/place/St+Patrick's+Cathedral/@-37.8100833,144.9764167,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642c44ef49cab:0x2bf29b0bbec7f6a0!8m2!3d-37.8104194!4d144.9759499?hl=en"
Melbourne Town Hall,City Hall,Tourist attraction,City Hall,https://www.melbourne.vic.gov.au/Pages/home.aspx,+61 3 9658 9658,"90-130 Swanston St, Melbourne VIC 3000, Australia",Melbourne,3000,-37.8150856,144.9665653,8:30am - 12:30pm,8:30am - 12:30pm,8:30am - 12:30pm,8:30am - 12:30pm,8:30am - 12:30pm,Closed,Closed,4.5,303,209,60,10,22,2,,15,AU,Victoria,Tourist attraction,,,,,,,,1.81E+18,FALSE,,,90-130 Swanston St,,,,FALSE,ChIJeRyD3rVC1moRY20R7vTeJxk,"5XM8+XJ Melbourne, Victoria, Australia",,2022-10-07T15:45:31.430Z,"https://www.google.com/maps/search/what+to+see+city+of+melbourne/@-37.8237219,144.8918893,12z?hl=en",,90-130 Swanston St,,FALSE,"https://www.google.com/maps/place/Melbourne+Town+Hall/@-37.8150856,144.9665653,17z/data=!3m1!4b1!4m5!3m4!1s0x6ad642b5de831c79:0x1927def4ee116d63!8m2!3d-37.8150856!4d144.9665653?hl=en"
