name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,totalScore,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar
Oaks Melbourne on Market Hotel,Hotel,https://www.oakshotels.com/en/oaks-on-market?utm_description=GoogleMyBusiness&utm_campaign=GMBMarket&utm_source=GoogleMyBusiness&utm_medium=GMBMarket,+61 1300 790 687,"60 Market St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8177472,144.9607539,4.1,1329,588,482,59,160,40
QT Melbourne,Hotel,https://www.qthotels.com/melbourne/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 3 8636 8800,"133 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8133583,144.9680749,4.5,1300,935,228,57,54,26
The Westin Melbourne,Hotel,https://www.marriott.com/en-us/hotels/melwi-the-westin-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9635 2222,"205 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8155068,144.967508,4.5,1299,850,322,36,78,13
Stamford Plaza Melbourne,Hotel,https://www.stamford.com.au/spm,+61 3 9659 1000,"111 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8135163,144.9699388,4,1285,558,414,88,151,74
Brady Hotels Central Melbourne,Hotel,https://www.bradyhotels.com.au/central-melbourne/,+61 3 9650 9888,"30 Little La Trobe St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8091589,144.9626744,4.3,1237,677,384,36,105,35
Pegasus Apart'Hotel,Hotel,http://www.pegasussuites.com.au/,+61 3 9284 2400,"206 A'Beckett St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8101492,144.9571351,4.2,1233,576,465,51,111,30
Melbourne Marriott Hotel,Hotel,https://www.marriott.com/hotels/travel/melmc-melbourne-marriott-hotel/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_MjkyMTQyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+61 3 9662 3900,"Corner Exhibition &, Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.809947,144.9694324,4.3,1198,642,386,32,103,35
Travelodge Hotel Melbourne Southbank,Hotel,https://www.travelodge.com.au/book-accommodation/melbourne/hotel-melbourne-southbank/?&utm_source=googleplaces&utm_medium=organic&utm_campaign=&utm_content=travelodge-melbourne-southbank,,"9 Riverside Quay, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8212752,144.9653276,4.1,1136,429,459,36,164,48
DoubleTree by Hilton Hotel Melbourne - Flinders Street,Hotel,https://www.hilton.com/en/hotels/melfsdi-doubletree-melbourne-flinders-street/?SEO_id=GMB-APAC-DI-MELFSDI,+61 3 9654 6888,"270 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8178819,144.9654538,4.3,1112,579,357,47,98,31
Four Points by Sheraton Melbourne Docklands,Hotel,https://www.marriott.com/en-us/hotels/melfp-four-points-by-sheraton-melbourne-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 8578 0000,"443 Docklands Dr, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.815317,144.9385419,4.3,1108,611,344,49,71,33
Oaks Melbourne on William Suites,Hotel,https://www.oakshotels.com/en/oaks-on-william?utm_description=GoogleMyBusiness&utm_campaign=GMBWilliam&utm_source=GoogleMyBusiness&utm_medium=GMBWilliam,+61 1300 554 275,"350 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8113063,144.9565716,4.2,1092,519,389,49,110,25
Citadines on Bourke Melbourne,Serviced accommodation,https://www.discoverasr.com/en/citadines/australia/citadines-on-bourke-melbourne?utm_source=google&utm_medium=gmb&utm_campaign=HQ-google-gmb-alwayson-20210927-all-en-au-au-citadinesonbourkemelbourne-eme,+61 3 9039 8888,"131-135 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8126724,144.9692461,4.3,1072,514,412,31,87,28
The Sebel Melbourne Docklands,Hotel,https://www.sebeldocklands.com.au/,+61 3 9641 7500,"18 Aquitania Way, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8138051,144.9425242,4.2,1070,570,287,75,94,44
Exford Hotel,Bar,http://www.exfordhotel.com.au/,+61 3 9663 2697,"199 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.811781,144.967444,4.1,1058,449,379,29,164,37
Space Hotel,Hostel,https://www.spacehotel.com.au/,+61 3 9662 3888,"380 Russell St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.807537,144.9660728,4.2,1016,520,311,40,107,38
Sheraton Melbourne Hotel,Hotel,https://www.marriott.com/en-us/hotels/melsi-sheraton-melbourne-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 9290 1000,"27 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8128985,144.9727786,4.2,974,558,249,65,77,25
The Savoy Hotel on Little Collins Melbourne,Hotel,https://savoyhotelmelbourne.com/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=savoy-melbourne,+61 3 9622 8888,"630 Little Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.817728,144.9539335,4.2,960,483,307,24,117,29
Pullman Melbourne on Swanston,Hotel,https://all.accor.com/hotel/3028/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA4MjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9663 4711,"195 Swanston St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8131012,144.9650043,4,959,395,329,50,143,42
Radisson on Flagstaff Gardens Melbourne,Hotel,https://www.radissonhotels.com/en-us/hotels/radisson-melbourne-flagstaff-gardens,+61 3 9322 8000,"380 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8103603,144.9560809,4.3,942,511,295,25,91,20
Wyndham Hotel Melbourne,Hotel,https://www.wyndhammelbourne.com.au/?CID=LC:HR::GGL:RIO:National:47584&iata=00093796,+61 3 8692 8900,"199 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8145689,144.9573572,4.3,933,524,272,43,72,22
View Melbourne,Hotel,https://viewhotels.com.au/melbourne,+61 3 9529 8888,"562 St Kilda Rd, Melbourne VIC 3004, Australia",Melbourne,Victoria,AU,3004,-37.8463433,144.9784634,4.2,927,431,324,34,110,28
The Olsen Melbourne - Art Series,Hotel,https://all.accor.com/hotel/B3V5/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjExNjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9040 1222,"637/641 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8380001,144.9954769,4.3,876,498,242,45,61,30
Jasper Hotel,Hotel,https://www.jasperhotel.com.au/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,+61 3 8327 2777,"489 Elizabeth St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8074918,144.9597157,4.1,801,339,288,30,108,36
Adina Apartment Hotel Melbourne,Hotel,https://www.adinahotels.com/en/apartments/melbourne/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne,+61 3 9934 0000,"189 Queen St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8142469,144.9599771,4.2,711,335,257,25,69,25
The Jazz Corner Hotel,Hotel,https://www.jazzcornerhotel.com/,+61 3 9454 9000,"352 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8111926,144.9564417,4.3,660,365,194,27,58,16
Miami Hotel Melbourne,Hotel,https://www.themiami.com.au/,+61 3 9321 2444,"13 Hawke St, West Melbourne VIC 3003, Australia",West Melbourne,Victoria,AU,3003,-37.8060026,144.9484743,4.2,645,303,225,20,71,26
Mantra on Little Bourke Melbourne,Hotel,https://all.accor.com/hotel/B3N9/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA4ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9607 3000,"471 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.814443,144.958996,4.3,641,306,247,20,51,17
Mantra Southbank Melbourne,Hotel,https://all.accor.com/hotel/B3Q9/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA3ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 8696 7222,"31 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8216792,144.9669244,4.1,610,237,262,20,75,16
Melbourne Metro YHA,Hostel,https://www.yha.com.au/hostels/vic/melbourne-hostels/melbourne-metro-hostel/?utm_source=google-business&utm_medium=righthandside&utm_campaign=listing,+61 3 9329 8599,"78 Howard St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.803079,144.9544576,4,586,236,194,39,90,27
Melbourne Central YHA,Hostel,https://www.yha.com.au/hostels/vic/melbourne-hostels/melbourne-central-hostel/?utm_source=google-business&utm_medium=righthandside&utm_campaign=listing,+61 3 9621 2523,"562 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8206438,144.9556166,4.1,580,268,196,26,70,20
The Como Melbourne - MGallery,Hotel,https://all.accor.com/hotel/8801/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjI2NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9825 2222,"630 Chapel St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8390099,144.9962073,4.4,579,348,155,20,40,16
Naughtons Hotel,Hotel,http://naughtonshotel.com.au/,+61 3 9347 2255,"43 Royal Parade, Parkville VIC 3052, Australia",Parkville,Victoria,AU,3052,-37.7955778,144.9576444,4.4,561,320,191,9,36,5
Clarion Suites Gateway,Hotel,https://www.choicehotels.com/victoria/melbourne/clarion-hotels/au603?mc=llgoxxap,+61 3 9296 8888,"1 William St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8194702,144.9595028,4.3,529,270,169,14,66,10
Quay West Suites,Hotel,,+61 3 9693 6000,"26 Southgate Ave, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8204221,144.9670934,4.5,523,346,134,11,21,11
Adina Apartment Hotel Melbourne Northbank,Hotel,https://www.adinahotels.com/en/apartments/melbourne-northbank/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne-northbank,+61 3 9246 0000,"550 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8204643,144.9559926,4.2,495,245,167,12,54,17
Oaks Melbourne Southbank Suites,Hotel,https://www.oakshotels.com/en/oaks-southbank?utm_description=GoogleMyBusiness&utm_campaign=GMBSouhtbank&utm_source=GoogleMyBusiness&utm_medium=GMBSouhtbank,+61 1300 696 186,"57-61 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8221269,144.9659824,4.1,485,233,150,19,61,22
Adelphi Hotel,Hotel,https://adelphi.com.au/,+61 3 8080 8888,"187 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.816265,144.9683427,4.4,428,271,110,13,23,11
Seasons Botanic Gardens,Hotel,https://www.seasonsbotanicgardensmelbourne.com.au/,+61 3 9685 3000,"348 St Kilda Rd, Melbourne VIC 3004, Australia",Melbourne,Victoria,AU,3004,-37.8309509,144.9708639,4.1,422,194,137,24,53,14
ibis Melbourne Central,Hotel,https://all.accor.com/hotel/A0E4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjAzODQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9929 8888,"399 Little Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.812047,144.9602102,4.3,400,218,125,11,36,10
Novotel Melbourne Central,Hotel,https://all.accor.com/hotel/A0B1/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA2NzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9929 8888,"399 Little Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8119138,144.960071,4.3,400,236,93,24,30,17
The Best Western Plus Travel Inn Hotel,Hotel,http://www.thetravelinn.com.au/,+61 3 9347 7922,"225 Drummond St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8004361,144.9682137,4.1,399,160,155,12,60,12
Ovolo Laneways,Hotel,https://ovolohotels.com/ovolo/laneways/?utm_source=local&utm_medium=organic&utm_campaign=gmb,+61 3 8692 0777,"19 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8106278,144.9719278,4.6,381,288,64,6,15,8
Peppers Docklands Melbourne,Hotel,https://all.accor.com/hotel/B3T4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA3MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9190 0000,"679 La Trobe St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8147446,144.947122,4.4,381,231,92,12,31,15
The Larwill Studio Melbourne - Art Series,Hotel,https://all.accor.com/hotel/B3V4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjExNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9032 9111,"48 Flemington Rd, Parkville VIC 3052, Australia",Parkville,Victoria,AU,3052,-37.7949609,144.9497837,4.5,378,244,103,7,17,7
Hotel Claremont Guesthouse,Hotel,http://www.hotelclaremont.com/,+61 3 9826 8000,"189 Toorak Rd, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.8390202,144.9933788,4,340,140,112,22,48,18
Mantra 100 Exhibition Melbourne,Hotel,https://all.accor.com/hotel/B3K0/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA0MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9631 4444,"100 Exhibition St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8133342,144.9715543,4,339,125,125,17,58,14
WRAP on Southbank,Serviced accommodation,https://www.oakshotels.com/en/wrap-on-southbank?utm_description=GoogleMyBusiness&utm_campaign=GMBWrapSouthbank&utm_source=GoogleMyBusiness&utm_medium=GMBWrapSouthbank,+61 1300 726 615,"133-139 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8234839,144.9636118,4.1,315,171,68,27,33,16
Adina Apartment Hotel Melbourne on Flinders,Serviced accommodation,https://www.adinahotels.com/en/apartments/melbourne-on-flinders/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=adina-melbourne-on-flinders,+61 3 8663 0000,"88 Flinders St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8159431,144.9716812,4.2,301,153,91,21,30,6
HOTEL NO,Hotel,https://hotelno.melbourne/,+61 1300 146 567,"388 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8179861,144.9610528,4.5,276,209,32,12,17,6
Alto Hotel on Bourke,Hotel,https://www.altohotel.com.au/,+61 3 8608 5500,"636 Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8164338,144.9547794,4.4,271,152,89,4,22,4
Quest Southbank,Hotel,https://www.questapartments.com.au/properties/vic/southbank/quest-southbank/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=southbank,+61 3 9694 5600,"14 Kavanagh St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8226813,144.966357,4.1,253,102,107,10,27,7
Park Regis Griffin Suites,Hotel,https://www.parkregisgriffinsuites.com.au/?utm_source=google&utm_medium=organic&utm_campaign=local-listing,+61 3 8530 1800,"604 St Kilda Rd, Melbourne VIC 3004, Australia",Melbourne,Victoria,AU,3004,-37.8511518,144.9803894,4.1,244,104,84,9,38,9
"Quest NewQuay, Docklands",Hotel,https://www.questapartments.com.au/properties/vic/docklands/quest-newquay/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=questnewquay,+61 3 9070 8000,"26 Caravel Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8140377,144.9407744,4.4,236,160,43,14,14,5
YEHS Melbourne Hotel CBD,Hotel,https://www.melbournehotelcbd.com.au/,+61 3 9672 0000,"600 Little Bourke St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8154724,144.9547888,4.1,226,145,24,32,17,8
Hilton Melbourne Little Queen Street,Hotel,https://www.hilton.com/en/hotels/melamhi-hilton-melbourne-little-queen-street/?SEO_id=GMB-APAC-HI-MELAMHI,+61 3 9116 8888,"18 Little Queen St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8147638,144.9595096,4.3,222,149,29,15,18,11
Quest Flemington Central,Hotel,https://www.questapartments.com.au/properties/vic/flemington/quest-flemington-central/overview/,+61 3 8595 8880,"1 Ascot Vale Rd, Flemington VIC 3031, Australia",Flemington,Victoria,AU,3031,-37.786812,144.921337,4.2,216,127,51,17,16,5
Ink Hotel Melbourne Southbank,Hotel,https://inkhotels.com/melbourne-southbank/,+61 3 9115 7000,"167 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8243459,144.9624645,4.4,193,135,29,11,12,6
Melbourne Marriott Hotel Docklands,Hotel,https://www.marriott.com/en-us/hotels/meldl-melbourne-marriott-hotel-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 8638 6000,"15 Waterfront Way, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8136885,144.9392881,4.2,190,128,23,19,6,14
Quest on Dorcas,Hotel,https://www.questapartments.com.au/properties/vic/south-melbourne/quest-on-dorcas/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=questondorcas,+61 3 9698 1500,"8 Dorcas St, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.830053,144.970198,4.4,181,101,58,5,15,2
Winston Apartments,Serviced accommodation,http://www.winstonapartments.com.au/,+61 433 377 770,"568 Collins St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8183726,144.9555337,4,181,81,59,15,17,9
Brady Hotels Jones Lane,Hotel,https://www.bradyhotels.com.au/jones-lane/,+61 3 8637 7000,"111 Little Lonsdale St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8094509,144.9685923,4.4,177,115,40,6,12,4
Vibe Hotel Melbourne,Hotel,https://vibehotels.com/book-accommodation/melbourne/hotel-melbourne/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=vibe-melbourne,+61 3 9958 9100,"1 Queen St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8188225,144.9620017,4.4,170,114,32,10,11,3
Docklands Private Collection - City Harbour,Serviced accommodation,https://www.docklandsprivatecollection.com.au/,+61 3 9642 4220,"7/198 Harbour Esplanade, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8138556,144.9447022,4.4,165,111,35,12,6,1
Amity Apartment Hotels,Hotel,http://www.amityhotels.com.au/,+61 3 8825 3700,"27-29 Claremont St, South Yarra VIC 3141, Australia",South Yarra,Victoria,AU,3141,-37.837103,144.9936774,4.4,164,100,42,3,15,4
Avani Melbourne Central Residences,Hotel,https://www.avanihotels.com/central-melbourne-residences?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=CentralMelbourne&utm_content=Home&utm_campaign=Google_GMB,+61 3 8803 3670,"60 A'Beckett St, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8088802,144.9614851,4.1,158,85,43,19,7,4
"Holiday Inn Express Melbourne Southbank, an IHG Hotel",Hotel,https://www.ihg.com/holidayinnexpress/hotels/us/en/melbourne/melms/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-AU-_-MELMS,+61 3 7505 5444,"35/47 City Rd, Southbank VIC 3006, Australia",Southbank,Victoria,AU,3006,-37.8219612,144.9664341,4.1,152,86,35,13,11,7
Carlton Lygon Lodge,Hotel,http://www.lygonlodge.com.au/,+61 468 890 055,"1/220 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.801868,144.967,4.1,150,79,39,10,17,5
RNR Serviced Apartments,Serviced accommodation,http://www.rnrmelbourne.com.au/,+61 3 8354 9029,"139 Chetwynd St, North Melbourne VIC 3051, Australia",North Melbourne,Victoria,AU,3051,-37.8023931,144.952279,4.1,142,75,35,13,14,5
Flinders Landing Apartments,Serviced accommodation,http://www.flinderslandingapartments.com.au/,+61 3 9652 3333,"161 Flinders Ln, Melbourne VIC 3000, Australia",Melbourne,Victoria,AU,3000,-37.8160038,144.969107,4.1,135,73,33,14,9,6
