name,categoryName,website,phone,address,Suburb,state,countryCode,postalCode,location/lat,location/lng,rank,totalScore,Total number of review,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,cid,isAdvertisement,locatedIn,menu,neighborhood,permanentlyClosed,placeId,plusCode,price,scrapedAt,searchPageUrl,searchString,street,subTitle,temporarilyClosed,url
Plum Serviced Apartments.,Serviced accommodation,http://www.plumapartments.com.au/,+61 1300 669 629,"528 Swanston St, Carlton VIC 3051, Australia",Carlton,Victoria,AU,3051,-37.8043676,144.9635679,86,3.2,258,129,26,39,28,25,11,Serviced accommodation,,,,,,,,,1.33E+19,FALSE,,,528 Swanston St,FALSE,ChIJPbNCcc1C1moRwFuYg6lQhrg,"5XW7+7C Carlton, Victoria, Australia",,8/10/2022 3:01,"https://www.google.com/maps/search/hotels+near+East+Melbourne+VIC/@-37.8108637,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,528 Swanston St,,FALSE,"https://www.google.com/maps/place/Plum+Serviced+Apartments./@-37.8043676,144.9635679,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd7142b33d:0xb88650a983985bc0!5m2!4m1!1i2!8m2!3d-37.8043676!4d144.9635679?hl=en"
Clocktower Apartment Hotel,Serviced accommodation,http://www.clocktower.com.au/,+61 3 9349 9700,"Shop 27/255 Drummond St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8000686,144.968366,50,3.9,168,84,35,22,7,16,4,Serviced accommodation,,,,,,,,,1.66E+19,FALSE,,,Shop 27/255 Drummond St,FALSE,ChIJD9ZRttZC1moRUpHq1-eODOY,"5XX9+X8 Carlton, Victoria, Australia",,8/10/2022 2:49,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,Shop 27/255 Drummond St,,FALSE,"https://www.google.com/maps/place/Clocktower+Apartment+Hotel/@-37.8000686,144.968366,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d6b651d60f:0xe60c8ee7d7ea9152!5m2!4m1!1i2!8m2!3d-37.8000686!4d144.968366?hl=en"
Plum Serviced Apartments.,Serviced accommodation,http://www.plumapartments.com.au/,+61 1300 669 629,"528 Swanston St, Carlton VIC 3051, Australia",Carlton,Victoria,AU,3051,-37.8043676,144.9635679,47,3.2,258,129,26,39,28,25,11,Serviced accommodation,,,,,,,,,1.33E+19,FALSE,,,528 Swanston St,FALSE,ChIJPbNCcc1C1moRwFuYg6lQhrg,"5XW7+7C Carlton, Victoria, Australia",,8/10/2022 2:49,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,528 Swanston St,,FALSE,"https://www.google.com/maps/place/Plum+Serviced+Apartments./@-37.8043676,144.9635679,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd7142b33d:0xb88650a983985bc0!5m2!4m1!1i2!8m2!3d-37.8043676!4d144.9635679?hl=en"
Zagame's House,Hotel,https://www.zagameshouse.com.au/,+61 3 9084 7777,"66 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8050872,144.9664756,40,4.5,256,128,100,12,5,7,4,Hotel,,,,,,,,,7.52E+18,FALSE,,,66 Lygon St,FALSE,ChIJu9Xu0R5D1moRQUiTRWQYa2g,"5XV8+XH Carlton, Victoria, Australia",,8/10/2022 2:50,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,66 Lygon St,,FALSE,"https://www.google.com/maps/place/Zagame's+House/@-37.8050872,144.9664756,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad6431ed1eed5bb:0x686b186445934841!5m2!4m1!1i2!8m2!3d-37.8051022!4d144.9663518?hl=en"
Carlton Lygon Lodge,Hotel,http://www.lygonlodge.com.au/,+61 468 890 055,"1/220 Lygon St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.801868,144.967,38,4.1,300,150,79,39,10,17,5,Hotel,,,,,,,,,1.23E+19,FALSE,,,1/220 Lygon St,FALSE,ChIJgW3YfdFC1moRzimqkJdrI6s,"5XX8+7Q Carlton, Victoria, Australia",,8/10/2022 2:50,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,1/220 Lygon St,,FALSE,"https://www.google.com/maps/place/Carlton+Lygon+Lodge/@-37.801868,144.967,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d17dd86d81:0xab236b9790aa29ce!5m2!4m1!1i2!8m2!3d-37.801868!4d144.967?hl=en"
Arrow On Swanston,Hotel,http://www.arrowonswanston.com.au/,+61 3 9225 9000,"488 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8057571,144.963421,34,3,1014,507,133,99,173,65,37,Hotel,Apartment building,Extended stay hotel,Self-catering accommodation,Serviced accommodation,Student housing center,,,,5.39E+18,FALSE,,,488 Swanston St,FALSE,ChIJCU5AHc1C1moRxyhG2RMnvUo,"5XV7+M9 Carlton, Victoria, Australia",,8/10/2022 2:50,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,488 Swanston St,,FALSE,"https://www.google.com/maps/place/Arrow+On+Swanston/@-37.8057571,144.963421,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd1d404e09:0x4abd2713d94628c7!5m2!4m1!1i2!8m2!3d-37.8057571!4d144.963421?hl=en"
The Best Western Plus Travel Inn Hotel,Hotel,http://www.thetravelinn.com.au/,+61 3 9347 7922,"225 Drummond St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8004361,144.9682137,13,4.1,798,399,160,155,12,60,12,Hotel,,,,,,,,,1.62E+19,FALSE,,,225 Drummond St,FALSE,ChIJ_7gEN9FC1moRMFOPsdtieeE,"5XX9+R7 Carlton, Victoria, Australia",,8/10/2022 2:52,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,225 Drummond St,,FALSE,"https://www.google.com/maps/place/The+Best+Western+Plus+Travel+Inn+Hotel/@-37.8004361,144.9682137,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d13704b8ff:0xe17962dbb18f5330!5m2!4m1!1i2!8m2!3d-37.8004361!4d144.9682137?hl=en"
Melbourne Carlton Central Apartment Hotel,Hotel,http://www.carltoncentral.com.au/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,+61 3 8341 4777,"2-9 Finlay Pl, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.8038019,144.9669402,7,3.9,358,179,69,64,16,21,9,Hotel,Apartment building,Condominium complex,Extended stay hotel,Group accommodation,Holiday accommodation service,Holiday apartment rental,Self-catering accommodation,Serviced accommodation,1.49E+19,FALSE,,,2-9 Finlay Pl,FALSE,ChIJx0RM99FC1moRRsuHZJ4Mws4,"5XW8+FQ Carlton, Victoria, Australia",,8/10/2022 2:52,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,2-9 Finlay Pl,,FALSE,"https://www.google.com/maps/place/Melbourne+Carlton+Central+Apartment+Hotel/@-37.8038019,144.9669402,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642d1f74c44c7:0xcec20c9e6487cb46!5m2!4m1!1i2!8m2!3d-37.803804!4d144.9669618?hl=en"
Essence Hotel Carlton,Hotel,https://www.essencehotels.com.au/carlton/,+61 3 8346 5600,"609 Swanston St, Carlton VIC 3053, Australia",Carlton,Victoria,AU,3053,-37.804126,144.9630119,6,3.8,1444,722,214,265,37,173,33,Hotel,,,,,,,,,1.34E+19,FALSE,,,609 Swanston St,FALSE,ChIJXxOUbs1C1moRHKE7XIuPbbk,"5XW7+86 Carlton, Victoria, Australia",,8/10/2022 2:52,"https://www.google.com/maps/search/hotels+near+Parkville+VIC/@-37.8105821,144.9612234,14z/data=!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,609 Swanston St,,FALSE,"https://www.google.com/maps/place/Essence+Hotel+Carlton/@-37.804126,144.9630119,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad642cd6e94135f:0xb96d8f8b5c3ba11c!5m2!4m1!1i2!8m2!3d-37.804126!4d144.9630119?hl=en"
"Quest NewQuay, Docklands",Hotel,https://www.questapartments.com.au/properties/vic/docklands/quest-newquay/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=questnewquay,+61 3 9070 8000,"26 Caravel Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8140377,144.9407744,118,4.4,472,236,160,43,14,14,5,Hotel,,,,,,,,,1.39E+19,FALSE,,,26 Caravel Ln,FALSE,ChIJGyg0lMZd1moRVm_0w5Cc28A,"5WPR+98 Docklands, Victoria, Australia",,8/10/2022 1:58,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,26 Caravel Ln,,FALSE,"https://www.google.com/maps/place/Quest+NewQuay,+Docklands/@-37.8140377,144.9407744,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65dc69434281b:0xc0db9c90c3f46f56!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8140377!4d144.9407744?hl=en"
Four Points by Sheraton Melbourne Docklands,Hotel,https://www.marriott.com/en-us/hotels/melfp-four-points-by-sheraton-melbourne-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 8578 0000,"443 Docklands Dr, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.815317,144.9385419,113,4.3,2216,1108,611,344,49,71,33,Hotel,Meeting planning service,,,,,,,,6.20E+18,FALSE,,,443 Docklands Dr,FALSE,ChIJxYtyomdd1moRkol1RXBzCVY,"5WMQ+VC Docklands, Victoria, Australia",,8/10/2022 1:58,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,443 Docklands Dr,,FALSE,"https://www.google.com/maps/place/Four+Points+by+Sheraton+Melbourne+Docklands/@-37.815317,144.9385419,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d67a2728bc5:0x5609737045758992!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.815317!4d144.9385419?hl=en"
Peppers Docklands Melbourne,Hotel,https://all.accor.com/hotel/B3T4/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps&y_source=1_MTUzNjA3MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+61 3 9190 0000,"679 La Trobe St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8147446,144.947122,108,4.4,762,381,231,92,12,31,15,Hotel,,,,,,,,,1.16E+19,FALSE,,,679 La Trobe St,FALSE,ChIJZdrO4kRd1moRoKotgWN6dqA,"5WPW+4R Docklands, Victoria, Australia",,8/10/2022 1:59,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,679 La Trobe St,,FALSE,"https://www.google.com/maps/place/Peppers+Docklands+Melbourne/@-37.8147446,144.947122,17z/data=!3m1!4b1!4m9!3m8!1s0x6ad65d44e2ceda65:0xa0767a63812daaa0!5m3!1s2023-03-01!4m1!1i2!8m2!3d-37.8147446!4d144.947122?hl=en"
Grand Hotel Melbourne,Hotel,https://www.grandhotelmelbourne.com.au/,+61 3 9611 4567,"33 Spencer St, Docklands VIC 3000, Australia",Docklands,Victoria,AU,3000,-37.8206498,144.9544305,73,4.4,880,440,267,107,10,44,12,Hotel,Bar,Cocktail bar,Restaurant,,,,,,6.82E+18,FALSE,,,33 Spencer St,FALSE,ChIJ3dmt61Fd1moRKaWbEW3hml4,"5XH3+PQ Docklands, Victoria, Australia",$$,8/10/2022 2:03,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,33 Spencer St,,FALSE,"https://www.google.com/maps/place/Grand+Hotel+Melbourne/@-37.8206498,144.9544305,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d51ebadd9dd:0x5e9ae16d119ba529!5m2!4m1!1i2!8m2!3d-37.8206498!4d144.9544305?hl=en"
Travelodge Hotel Melbourne Docklands,Hotel,https://www.travelodge.com.au/book-accommodation/melbourne/hotel-melbourne-docklands/?&utm_source=googleplaces&utm_medium=organic&utm_campaign=&utm_content=travelodge-melbourne-docklands,+61 3 8615 1000,"66 Aurora Ln, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8189969,144.9503634,57,4,3360,1680,625,647,75,259,74,Hotel,,,,,,,,,6.95E+17,FALSE,,,66 Aurora Ln,FALSE,ChIJfSu6n1pd1moRDCMv6dX8pAk,"5XJ2+C4 Docklands, Victoria, Australia",,8/10/2022 2:06,"https://www.google.com/maps/search/hotels+near+CBD,+Melbourne+VIC/@-37.8144982,144.9433911,14z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,66 Aurora Ln,,FALSE,"https://www.google.com/maps/place/Travelodge+Hotel+Melbourne+Docklands/@-37.8189969,144.9503634,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d5a9fba2b7d:0x9a4fcd5e92f230c!5m2!4m1!1i2!8m2!3d-37.8189969!4d144.9503634?hl=en"
Winston Apartments,Hotel,http://www.winstonapartments.com.au/,+61 1300 082 005,"207S/889 Collins St, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8210007,144.9415428,21,3.3,128,64,28,8,20,5,3,Hotel,,,,,,,,,1.01E+19,FALSE,,,207S/889 Collins St,FALSE,ChIJ160qiF1d1moR0M8IZaISdIw,"5WHR+HJ Docklands, Victoria, Australia",,8/10/2022 2:51,"https://www.google.com/maps/search/hotels+near+Docklands+VIC/@-37.8144422,144.881204,13z/data=!4m5!2m4!5m2!5m1!1s2023-03-01!6e3?hl=en",,207S/889 Collins St,,FALSE,"https://www.google.com/maps/place/Winston+Apartments/@-37.8210007,144.9415428,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d5d882aadd7:0x8c7412a26508cfd0!5m2!4m1!1i2!8m2!3d-37.8210007!4d144.9415428?hl=en"
Grand Hotel Melbourne,Hotel,https://www.grandhotelmelbourne.com.au/,+61 3 9611 4567,"33 Spencer St, Docklands VIC 3000, Australia",Docklands,Victoria,AU,3000,-37.8206498,144.9544305,18,4.4,880,440,267,107,10,44,12,Hotel,Bar,Cocktail bar,Restaurant,,,,,,6.82E+18,FALSE,,,33 Spencer St,FALSE,ChIJ3dmt61Fd1moRKaWbEW3hml4,"5XH3+PQ Docklands, Victoria, Australia",££,8/10/2022 2:54,"https://www.google.com/maps/search/hotels+near+Docklands+VIC/@-37.8144526,144.881204,13z/data=!3m1!4b1!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,33 Spencer St,,FALSE,"https://www.google.com/maps/place/Grand+Hotel+Melbourne/@-37.8206498,144.9544305,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d51ebadd9dd:0x5e9ae16d119ba529!5m2!4m1!1i2!8m2!3d-37.8206498!4d144.9544305?hl=en"
Melbourne Marriott Hotel Docklands,Hotel,https://www.marriott.com/en-us/hotels/meldl-melbourne-marriott-hotel-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+61 3 8638 6000,"15 Waterfront Way, Docklands VIC 3008, Australia",Docklands,Victoria,AU,3008,-37.8136885,144.9392881,10,4.2,380,190,128,23,19,6,14,Hotel,Meeting planning service,,,,,,,,1.83E+19,FALSE,Floor 0 · The District Docklands,,15 Waterfront Way,FALSE,ChIJ5U45UxBd1moR8vQTvM_Clf4,"5WPQ+GP Docklands, Victoria, Australia",,8/10/2022 2:55,"https://www.google.com/maps/search/hotels+near+Docklands+VIC/@-37.8144526,144.881204,13z/data=!3m1!4b1!4m4!2m3!5m2!5m1!1s2023-03-01?hl=en",,15 Waterfront Way,,FALSE,"https://www.google.com/maps/place/Melbourne+Marriott+Hotel+Docklands/@-37.8136885,144.9392881,17z/data=!3m1!4b1!4m8!3m7!1s0x6ad65d1053394ee5:0xfe95c2cfbc13f4f2!5m2!4m1!1i2!8m2!3d-37.8136885!4d144.9392881?hl=en"
